VRchat名,X（Twitterアカウント名）＠～,ご参加人数（１名 / ２名）,２名で参加希望の方用：お連れ様のVRChat名,第一希望キャスト,第二希望キャスト,応募条件・注意事項等確認,意気込み・質問等
Pech_Guest_01,@pecheur_01,１名,,修夜,琥珀,確認済み,初参加です。よろしくお願いします
Pech_Guest_02,@pecheur_02,２名,Partner_VRC_02,瀬良 水紀,ねむる,確認済み,2名で参加希望です。連れはPartner_VRC_02
Pech_Guest_03,@pecheur_03,１名,,鞠屋 ケイト,りぶ,確認済み,おまかせでも大丈夫です
Pech_Guest_04,@pecheur_04,１名,,睦月 聖夜,おまかせ,確認済み,楽しみにしています
Pech_Guest_05,@pecheur_05,２名,Friend_Alice,修夜,琥珀,確認済み,友達と2人で参加したいです
Pech_Guest_06,@pecheur_06,１名,,ねむる,瀬良 水紀,確認済み,よろしくお願いします
Pech_Guest_07,@pecheur_07,１名,,りぶ,鞠屋 ケイト,確認済み,初めてのホストクラブです
Pech_Guest_08,@pecheur_08,１名,,琥珀,修夜,確認済み,前回当選した方の感想見て応募しました
Pech_Guest_09,@pecheur_09,１名,,おまかせ,睦月 聖夜,確認済み,誰でも嬉しいです
Pech_Guest_10,@pecheur_10,１名,,瀬良 水紀,ねむる,確認済み,罪人コンセプト面白そうで
