VRChatのアカウント名,X（Twitter）のアカウントURL,VRChatのユーザーページURL,公式X @mimiChou_vrc フォロー確認,PCVR（3点以上）・日本語VC可否,ユーザーランク Known User 以上か,女性アバター使用か,【任意】気になるキャスト,一言・意気込み
mimichou_guest01,https://x.com/mimichou_01,https://vrc.game/users/usr_mc01,フォロー済み,可能,はい,はい,せなち・白いゆきんこ,おうちデート楽しみにしています
mimichou_guest02,https://x.com/mimichou_02,https://vrc.game/users/usr_mc02,フォロー済み,可能,はい,はい,飴井めあ,初参加です。よろしくお願いします
mimichou_guest03,https://x.com/mimichou_03,https://vrc.game/users/usr_mc03,フォロー済み,可能,はい,はい,,なつきつねさん気になります
mimichou_guest04,https://x.com/mimichou_04,https://vrc.game/users/usr_mc04,フォロー済み,可能,はい,はい,式部ラビ,女性アバターで参加します
mimichou_guest05,https://x.com/mimichou_05,https://vrc.game/users/usr_mc05,フォロー済み,可能,はい,はい,せなち・飴井めあ・なつきつね,3人とも気になります
mimichou_guest06,https://x.com/mimichou_06,https://vrc.game/users/usr_mc06,フォロー済み,可能,はい,はい,,キャバ体験初めてです
mimichou_guest07,https://x.com/mimichou_07,https://vrc.game/users/usr_mc07,フォロー済み,可能,はい,はい,白いゆきんこ,よろしくお願いします
mimichou_guest08,https://x.com/mimichou_08,https://vrc.game/users/usr_mc08,フォロー済み,可能,はい,はい,,締切前に応募できてよかった
mimichou_guest09,https://x.com/mimichou_09,https://vrc.game/users/usr_mc09,フォロー済み,可能,はい,はい,式部ラビ・飴井めあ,デート楽しみです
mimichou_guest10,https://x.com/mimichou_10,https://vrc.game/users/usr_mc10,フォロー済み,可能,はい,はい,,一言・意気込み欄です
