イベント概要・入店条件・禁止事項への同意,Twitterの応募要項を確認の上条件を満たしていますか？,VRChatのURL,TwitterのURL,指名したいキャストを選択（複数回答可）
同意する,はい,https://vrc.game/users/usr_xxxx001,https://x.com/suien_user1,煙妃・るる
同意する,はい,https://vrc.game/users/usr_xxxx002,https://x.com/suien_user2,やみ・うな
同意する,はい,https://vrc.game/users/usr_xxxx003,https://x.com/suien_user3,るるあ・hosuko
同意する,はい,https://vrc.game/users/usr_xxxx004,https://x.com/suien_user4,むあちゃん。・れいら
同意する,はい,https://vrc.game/users/usr_xxxx005,https://x.com/suien_user5,アンジュ・ココ
同意する,はい,https://vrc.game/users/usr_xxxx006,https://x.com/suien_user6,なち・よい
同意する,はい,https://vrc.game/users/usr_xxxx007,https://x.com/suien_user7,兎々・けろ
同意する,はい,https://vrc.game/users/usr_xxxx008,https://x.com/suien_user8,エレディアン・ととちゃん
同意する,はい,https://vrc.game/users/usr_xxxx009,https://x.com/suien_user9,煙妃
同意する,はい,https://vrc.game/users/usr_xxxx010,https://x.com/suien_user10,るる・やみ・うな
